市町村,人口,児童人口,現役人口,高齢人口,緯度,経度
熊本市東区,740826,111936,446060,182830,32.8153,130.7697
熊本市中央区,707632,82770,453880,170982,32.8031,130.7079
熊本市北区,547466,74778,311408,161280,32.87,130.69
熊本市南区,514556,83124,293122,138310,32.74,130.675
八代市,483324,58658,256212,168454,32.5,130.6
熊本市西区,355098,43136,202014,109948,32.789,130.654
天草市,300670,33732,142920,124018,32.45,130.2
玉名市,254274,31824,134548,87902,32.9333,130.5667
合志市,245702,45994,139890,59818,32.8833,130.7833
宇城市,225918,28746,117516,79656,32.6333,130.6667
荒尾市,202168,25510,103690,72968,32.9833,130.4333
山鹿市,194826,23446,96984,74396,33.0167,130.6833
菊池市,183734,24376,96160,63198,32.9833,130.8167
菊陽町,169954,29636,104178,36140,32.87,130.8
宇土市,142926,19418,79974,43534,32.6833,130.65
大津町,138636,23898,84220,30518,32.8667,130.85
益城町,129280,20560,69756,38964,32.8,130.8167
人吉市,122116,14826,60710,46580,32.2167,130.75
阿蘇市,98664,11106,47368,40190,32.95,131.1
上天草市,97846,10156,46410,41280,32.5167,130.4333
水俣市,93932,10684,44766,38482,32.2167,130.4
御船町,64568,8956,32966,22646,32.7,130.8
芦北町,62634,6476,28058,28100,32.3,130.5
長洲町,60250,7372,30920,21958,32.9333,130.45
あさぎり町,58196,7744,27932,22520,32.2667,130.9
山都町,53662,4962,21620,27080,32.6833,131.0333
氷川町,43032,4824,21018,17190,32.5833,130.65
錦町,41018,6114,21224,13680,32.25,130.8
甲佐町,40378,5098,19336,15944,32.65,130.75
南阿蘇村,38842,4020,18028,16794,32.85,131.05
嘉島町,37950,6826,21010,10114,32.7167,130.75
美里町,37442,3108,16670,17664,32.65,130.8
和水町,37206,3800,17568,15838,33,130.6167
多良木町,36030,4102,16418,15510,32.2667,130.9333
南関町,35560,3804,17646,14110,33.0833,130.55
苓北町,28280,2940,13058,12282,32.5167,130.05
小国町,26240,2796,12346,11098,33.1167,131.0667
西原村,25514,3598,13812,8104,32.8167,130.9
高森町,22932,2512,10416,10004,32.8167,131.1333
玉東町,20128,2816,9980,7332,32.9167,130.6333
津奈木町,16922,1840,7922,7160,32.25,130.45
相良村,16250,1748,7486,7016,32.2833,130.7667
南小国町,14850,1716,7090,6044,33.0833,131.0667
湯前町,14498,1564,6532,6402,32.2833,130.9833
山江村,12794,2052,6070,4672,32.3167,130.7667
球磨村,9702,980,4374,4348,32.3,130.65
水上村,8118,1056,3456,3606,32.35,131
産山村,5474,580,2528,2366,32.95,131.25
五木村,3702,288,1630,1784,32.3833,130.7667
